district,district_code,median_household_income,income_moe
Alamo Heights ISD,7590,100268.0,10037.0
Boerne ISD,10710,136279.0,10659.0
Comal ISD,14730,110926.0,3282.0
East Central ISD,17850,80803.0,6282.0
Edgewood ISD (Bexar County),18150,42055.0,1987.0
Fort Sam Houston ISD,20160,100662.0,21360.0
Harlandale ISD,22470,51927.0,3821.0
Judson ISD,24990,76852.0,3281.0
Lackland ISD,26370,64539.0,15330.0
Medina Valley ISD,30060,99115.0,6604.0
North East ISD,32940,79074.0,1581.0
"Northside ISD (Bandera, Bexar, and Medina Counties)",33120,80406.0,1191.0
Randolph Field ISD,36450,113250.0,22031.0
San Antonio ISD,38730,46710.0,1609.0
Schertz-Cibolo-Universal City ISD,39480,105726.0,3973.0
Somerset ISD,40740,72176.0,8968.0
South San Antonio ISD,40680,52309.0,3979.0
Southside ISD,40920,63269.0,6564.0
Southwest ISD,40950,69907.0,4627.0
